"id","title","author","指導教授","校院名稱","系所名稱","畢業學年度","論文出版年"
"1","一個改變向量種子的技術應用於以線性回饋移位暫存器為基礎的內建式自我測試","賴南成","王行健","國立中興大學","資訊科學研究所","90","2002"
"2","應用固相胜合成法(SPPS)合成typeIcollagencross-linkedN-telopeptide的片斷並應用ELISA及SPRtechnology測試其與抗體間之作用","陳丘泓","劉英明
龍鳳娣","國立中興大學","生命科學院碩士在職專班","90","2002"
"3","嵌入式記憶體測試與內建式自我測試系統之設計與實現","王維倫","李昆忠
王駿發","國立成功大學","電機工程學系","90","2001"
"4","CMOS邏輯電路之低功率測試","黃宗柱","李昆忠","國立成功大學","電機工程學系","90","2002"
"5","液流阻尼器全尺寸結構防振功能之振動台測試","王冠凱","徐德修","國立成功大學","土木工程學系碩博士班","90","2002"
"6","可調式圓管曲度－截面變形量測器之設計與測試","黃韋豪","潘文峰","國立成功大學","工程科學系碩博士班","90","2002"
"7","公開金鑰憑證管理系統安全評估與自動化測試之研究","曾宏偉","黃宗立","國立成功大學","資訊工程學系碩博士班","90","2002"
"8","考量多重設計參數限制之單晶片系統測試排程","洪忻煒","李昆忠","國立成功大學","電機工程學系碩博士班","90"
"9","運用三角調變器之內建式自我測試電路於類比數位轉換器","曾瑞鉉","李昆忠","國立成功大學","電機工程學系碩博士班","90","2002"
"10","利用嵌入式處理器控制之單晶片系統測試平臺","洪郁庭","李昆忠","國立成功大學","電機工程學系碩博士班","90","2002"
